ant-ivy,10405759.174394222,905,249,2014-05-28 07:00:08,-15,115,0,2,False,1,110,0,0,,-1,,60841,1001,2394,0.07756298526382507,69.18,31,0,3,17,3.925680159256802,174,2006-10-23,2007-10-11,12,https://github.com/apache/ant-ivy
db-jdo,4307390.764389097,666,67,2018-07-20 14:42:36,61,11,0,2,False,1,20,0,135,,77997,,83781,195,1953,0.003848382773733203,3.79,0,50,33,140,38.77619027783563,464,2005-05-18,2005-12-09,12,https://github.com/apache/db-jdo
jspwiki,7615634.967521353,4461,311,2009-03-27 15:41:58,-12,101,0,1,False,-2,274,7,0,,-1,,60326,557,9688,0.005745796699059077,23.44,41,0,7,5,9.957978219696969,124,2007-09-17,2013-07-19,12,https://github.com/apache/jspwiki
jackrabbit,2778169.5282328557,1209,867,2009-05-21 01:43:24,-208,209,0,3,False,5,130,3,36,,81438,,70436,963,13975,0.0364752969390566,50.12,0,22,14,65,11.431264648935086,619,2004-08-28,2006-03-15,12,https://github.com/apache/jackrabbit
jaxme,2479891.0485543483,39,0,2013-09-30 21:08:58,0,0,PRs missing,1,True,0,Commits or Issues or PRs missing,0,0,,PRs missing,,PRs missing,3,1,0.05744949494949495,48.81,38,2,4,12,7.591554956616308,232,2003-09-15,2004-03-17,12,https://github.com/sisbell/jaxme
jena,341916.33904109587,0,2793,2013-01-04 08:00:32,166,643,0,1,False,0,10,5,53,,49805,,47339,1284,23808,0.0,41.89,0,50,89,95,40.87455518247414,2861,2010-11-23,2012-04-18,12,https://github.com/apache/jena
johnzon,3183048.971077252,228,164,2014-09-11 07:00:06,-15,66,0,2,False,3,21,3,19,,0,,85094,88,1010,0.06727648273827087,111.2,27,6,2,12,8.763954425135228,230,2014-06-09,2016-04-20,12,https://github.com/apache/johnzon
joshua,5767237.8681283165,630,271,2016-03-25 07:00:06,86,63,-11,3,True,-7,53,25,52,,-1,,79127,242,4139,0.0007553578025152863,11.1,25,5,8,22,20.812156280136577,429,2016-02-13,2018-10-17,12,https://github.com/apache/joshua
juneau,212245.0,0,195,2016-08-02 07:00:07,13,39,0,1,False,-1,12,6,1073,,-1,,52534,362,3063,0.0,63.65,0,13,11,35,24.50511147322962,403,2016-06-24,2017-10-18,12,https://github.com/apache/juneau
kafka,4881563.368126714,3218,69559,2011-08-15 18:06:16,-28,13689,0,20,False,1,197,3,3815,,627,,15538,314,19503,0.04011426610273855,150.76,3,5,40,82,7.793045814689051,354,2011-07-04,2012-10-23,12,https://github.com/apache/kafka
knox,3863104.6460014815,762,616,2014-03-01 08:00:06,29,248,0,4,False,1,36,0,541,,51875,,54137,90,3234,0.05832117414814179,76.17,45,1,6,5,30.686848317922486,345,2013-02-22,2014-02-19,12,https://github.com/apache/knox
kudu,9422959.918027366,981,4300,2016-01-29 08:00:06,-49,648,0,4,False,6,102,4,0,,-1,,40773,1807,9815,0.021403022288503885,22.52,0,5,60,91,8.128009354794331,330,2015-12-03,2016-07-20,12,https://github.com/apache/kudu
kylin,3423467.6758924467,2370,8779,2015-01-03 08:00:05,838,1533,6,2,False,-1,174,19,3418,,24924,,78576,1324,11325,0.00557244842751764,48.76,28,1,30,10,9.744745577412123,374,2014-11-25,2015-11-18,12,https://github.com/apache/kylin
kyuubi,994922.4987190436,3216,4912,2017-12-18 09:05:10,-82,884,52,5,False,7,188,66,1445,,46092,,69559,983,4202,0.0,52.24,25,6,8,29,26.109845054584174,429,2021-06-21,2022-12-22,12,https://github.com/apache/kyuubi
Lens,1869857.867993928,3685,219,2014-11-12 08:00:06,152,101,-4,3,False,10,102,9,0,,-1,,35949,100,2370,0.03259259259259259,69.67,36,3,4,12,4.54013573601685,185,2014-10-10,2015-08-19,12,https://github.com/apache/Lens
Lenya,Issues missing,Issues missing,46,2011-12-26 08:00:11,691,10,0,2,True,1,Commits or Issues or PRs missing,5,0,,-1,,41125,344,12523,Issues missing,8.72,26,0,0,2,27.470004443786106,248,2003-03-15,2004-08-18,12,https://github.com/apache/Lenya
Libcloud,6767726.1931034485,11,4980,2009-12-11 09:00:14,-16,928,5,3,False,0,22,7,2887,,75926,,25957,496,9984,0.0,90.82,45,0,16,2,31.055776143893183,154,2009-11-01,2011-05-19,12,https://github.com/apache/Libcloud
linkis,1045868.835408771,3084,7689,2019-07-23 06:41:51,-178,1151,107,8,False,11,150,68,1062,,7621,,61331,720,3524,0.0,8.55,2,1,13,61,35.37389338858542,225,2021-08-02,2022-12-22,12,https://github.com/apache/linkis
logging-log4php,9917073.167291261,254,285,2012-12-08 08:00:18,-47,83,0,2,True,2,36,4,5,,-1,,83148,3,1044,0.02599388379204893,77.06,9,0,0,1,1.3215859030837005,85,2004-01-31,2010-03-07,12,https://github.com/apache/logging-log4php
Lucene.NET,7368051.2342243,776,4992,2009-03-27 15:41:57,113,628,1,1,False,1,74,3,4898,,56350,,5107,707,7769,0.00239290333240276,55.12,0,32,40,195,14.81554623472187,1929,2011-02-05,2012-08-15,12,https://github.com/apache/Lucene.NET
Lucy,3056614.7383840824,334,224,2011-11-19 08:00:16,-105,26,0,2,False,4,23,3,0,,-1,,48161,24,3417,0.006492266564827191,19.95,14,14,8,25,9.83782815159932,512,2010-07-22,2012-02-22,12,https://github.com/apache/Lucy
MADlib,4570672.762391403,974,1057,2015-09-19 07:00:06,-27,147,31,5,False,-1,86,13,0,,-1,,8585,405,2684,0.03138737887024344,0.67,0,18,19,32,29.24762463969254,510,2015-09-15,2017-07-19,12,https://github.com/apache/MADlib
