project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
MyFaces,11591573.477364866,15952,305,7,-54,71,2,2,0,6,1249,86,1920,27265,140,8242,0.03619809323499702,53.69,0,2,16,94,16.424881545924165,324,2005-03-09,2024-08-14,https://github.com/apache/MyFaces,evolved
Mynewt-core,7153691.939189189,730,1996,10,712,366,-137,5,0,-18,166,125,963,13292,371,10773,6.53765690376569e-05,2.4,0,23,81,106,30.48961477519591,608,2017-06-21,2024-07-10,https://github.com/apache/Mynewt-core,evolved
NiFi,6098392.2830699645,66404,11849,11,-240,2643,29,5,0,36,2993,611,5532,6860,377,11986,0.020397499513709574,46.2,0,16,39,137,16.829640203743956,834,2015-07-15,2024-08-14,https://github.com/apache/NiFi,evolved
Nutch,9465195.94196493,22425,6953,16,68,1245,2,5,0,-3,999,98,226,7741,1737,2571,0.00959283115600514,20.27,21,4,2,38,15.064916225429752,250,2005-06-01,2024-07-10,https://github.com/apache/Nutch,evolved
Nuvem,171898.90657142855,0,9,15,0,5,2,2,1,0,0,0,0,-1,0,141,0.009828009828009828,24.59,8,0,0,0,24.067333939945406,37,2012-11-29,2023-04-14,https://github.com/apache/Nuvem,evolved
OFBiz,5850900.638448691,73793,2099,16,688,553,0,3,0,-10,1190,46,0,69591,232,31770,0.005475233220969169,2.34,0,48,105,243,17.533314811798856,753,2006-12-20,2024-08-14,https://github.com/apache/OFBiz,evolved
commons-ognl,5530371.727073299,508,204,12,204,40,0,1,0,1,72,15,3,38528,26,965,0.08882655446470314,46.27,33,1,1,8,5.818472793781436,160,2011-08-30,2024-01-20,https://github.com/apache/commons-ognl,evolved
OODT,7170435.904155253,4868,187,12,88,61,6,3,0,-5,160,58,106,64863,777,2135,0.0011474151044206138,24.07,45,0,11,13,34.5919090075827,167,2010-11-17,2023-04-17,https://github.com/apache/OODT,evolved
Ode,7633592.074445862,3864,149,16,295,61,0,3,1,-6,248,27,0,61799,86,5571,0.03010295950874925,41.48,16,3,8,26,15.438564941779436,307,2007-07-18,2020-01-14,https://github.com/apache/Ode,evolved
incubator-Omid,3118838.6809346927,574,228,9,-11,56,5,2,0,2,45,14,6,10371,68,1440,0.017839639286414428,111.23,6,0,0,0,3.3870967741935485,65,2019-11-15,2024-05-14,https://github.com/apache/incubator-Omid,evolved
Oozie,6493955.899921257,24748,1878,14,142,470,1,3,0,-5,642,42,0,69082,2630,552,0.07030933615775209,95.28,33,3,7,35,10.35452864101696,381,2012-08-28,2024-02-14,https://github.com/apache/Oozie,evolved
climate,3699731.3453513547,4087,388,11,142,112,-26,3,0,-7,85,44,65,79733,184,2868,0.008533616854592765,37.66,36,6,2,16,20.281325407568712,405,2014-02-19,2020-10-05,https://github.com/apache/climate,evolved
